Engine Size(L),Cylinders,Gearbox_Type,Gearbox_Number,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Model Features_Flexible-fuel vehicle,Model Features_Four-wheel drive,Model Features_Long wheelbase,Model Features_Short wheelbase,Vehicle Class_FULL-SIZE,Vehicle Class_MID-SIZE,Vehicle Class_MINICOMPACT,Vehicle Class_MINIVAN,Vehicle Class_PICKUP TRUCK - SMALL,Vehicle Class_PICKUP TRUCK - STANDARD,Vehicle Class_SPECIAL PURPOSE VEHICLE,Vehicle Class_STATION WAGON - MID-SIZE,Vehicle Class_STATION WAGON - SMALL,Vehicle Class_SUBCOMPACT,Vehicle Class_SUV - SMALL,Vehicle Class_SUV - STANDARD,Vehicle Class_TWO-SEATER,Vehicle Class_VAN - CARGO,Vehicle Class_VAN - PASSENGER,Fuel Type_E,Fuel Type_N,Fuel Type_X,Fuel Type_Z,Make
4.7,8,1,7.0,17.5,13.2,15.6,18,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,MERCEDES-BENZ
1.8,4,1,6.854092526690391,5.5,5.9,5.7,50,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LEXUS
2.0,4,1,8.0,12.5,9.5,11.2,25,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SUBARU
1.4,4,0,6.0,9.9,7.2,8.7,32,200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,FIAT
2.7,6,1,6.0,14.0,9.5,12.0,24,281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LINCOLN
1.6,4,1,6.0,8.7,6.4,7.6,37,175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,FORD
3.0,6,1,8.0,11.9,7.8,10.0,28,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BMW
1.6,4,1,6.0,8.2,6.2,7.3,39,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,HYUNDAI
1.5,3,1,8.0,8.6,7.1,7.9,36,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,FORD
6.4,8,1,8.0,15.6,9.6,12.9,22,302,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DODGE
2.0,4,1,6.0,7.9,6.9,7.5,38,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,SUBARU
1.5,4,0,6.0,7.7,5.7,6.8,42,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,HONDA
2.0,4,1,6.0,8.4,6.4,7.5,38,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,MAZDA
3.0,6,1,9.0,11.8,8.8,10.4,27,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MERCEDES-BENZ
2.4,4,1,4.0,11.2,8.0,9.8,29,225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CHRYSLER
3.0,6,1,8.0,14.8,11.4,13.3,21,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,LAND ROVER
4.4,8,0,6.0,16.1,10.9,13.7,21,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BMW
1.8,4,1,6.854092526690391,8.0,6.3,7.2,39,168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TOYOTA
5.3,8,1,6.0,15.1,10.4,13.0,22,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,GMC
2.0,4,1,6.0,11.6,8.3,10.1,28,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AUDI
3.6,6,1,8.0,12.2,9.7,11.1,25,260,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,RAM
2.0,4,1,6.0,9.1,7.2,8.2,34,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,SUBARU
1.8,4,1,7.0,7.9,6.1,7.1,40,166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TOYOTA
1.8,4,1,6.854092526690391,8.3,6.9,7.7,37,180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,HONDA
2.0,4,0,6.0,10.6,7.3,9.1,31,209,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,AUDI
2.0,4,1,6.0,8.6,6.8,7.8,36,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,MITSUBISHI
2.8,4,1,6.0,12.2,8.4,10.5,27,283,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHEVROLET
2.7,4,1,8.0,11.9,10.3,11.1,25,262,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,GMC
2.0,4,0,5.0,10.3,8.2,9.3,30,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,MITSUBISHI
3.0,6,1,8.0,12.4,8.5,10.7,26,249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,BMW
2.9,6,0,8.0,11.3,8.5,10.1,28,235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PORSCHE
2.0,4,1,6.854092526690391,10.7,8.8,9.9,29,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,JEEP
3.0,6,0,6.0,14.6,9.8,12.4,23,285,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,AUDI
2.0,4,1,8.0,10.0,6.5,8.4,34,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BMW
1.6,4,0,6.0,8.6,6.8,7.8,36,179,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MINI
3.0,6,1,7.0,12.5,8.7,10.8,26,254,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,INFINITI
3.0,6,0,7.0,12.2,8.5,10.5,27,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PORSCHE
3.0,6,0,7.0,11.9,9.3,10.7,26,250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PORSCHE
3.0,6,0,7.0,9.1,9.0,9.0,31,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,ACURA
2.0,4,1,6.0,11.5,9.3,10.5,27,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,VOLKSWAGEN
2.8,4,1,6.0,11.8,7.9,10.1,28,270,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHEVROLET
5.0,8,1,8.0,15.7,10.3,13.2,21,304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,JAGUAR
1.4,4,1,6.0,9.0,6.8,8.0,35,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CHEVROLET
2.0,4,1,6.0,9.3,7.6,8.5,33,196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,MAZDA
2.0,4,1,8.0,10.6,7.2,9.1,31,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BMW
1.4,4,0,5.0,8.5,7.1,7.9,36,186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FIAT
1.0,3,1,6.0,8.6,8.1,8.4,34,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,FORD
2.0,4,0,6.0,11.1,7.3,9.4,30,219,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,BMW
3.0,6,1,7.0,13.6,10.0,12.0,24,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,MERCEDES-BENZ
3.5,6,1,6.0,13.2,10.7,12.1,23,283,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TOYOTA
3.5,6,1,7.0,11.9,8.8,10.5,27,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,INFINITI
3.7,6,0,6.0,13.6,9.7,11.8,24,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NISSAN
3.6,6,1,6.0,14.8,10.4,12.8,22,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,CADILLAC
1.4,4,1,6.0,9.6,7.3,8.6,33,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FIAT
4.7,8,1,7.0,14.7,9.1,12.2,23,281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MERCEDES-BENZ
